p_id,posterior,prior,likelihood,rule
1,-45.35630656702314,-10.802672816507345,-34.55363375051579,"""lambda x: else_(conform_(x, 4), else_(conform_(x, 4), '1'))"""
1,-45.35630656702314,-10.802672816507345,-34.55363375051579,"""lambda x: else_(conform_(x, 4), else_(balance_(x, 4), '1'))"""
1,-45.35630656702314,-10.802672816507345,-34.55363375051579,"""lambda x: else_(conform_(x, 4), else_(balance_(x, 3), '1'))"""
1,-45.35630656702314,-10.802672816507345,-34.55363375051579,"""lambda x: else_(conform_(x, 4), else_(conform_(x, 1), '1'))"""
1,-45.35630656702314,-10.802672816507345,-34.55363375051579,"""lambda x: else_(conform_(x, 4), else_(balance_(x, 2), '1'))"""
1,-45.35630656702314,-10.802672816507345,-34.55363375051579,"""lambda x: else_(conform_(x, 4), else_(balance_(x, 1), '1'))"""
1,-45.35630656702313,-10.802672816507345,-34.553633750515786,"""lambda x: else_(balance_(x, 2), else_(conform_(x, 4), '1'))"""
1,-43.970012205903245,-9.416378455387454,-34.55363375051579,"""lambda x: else_(conform_(x, 4), else_(patternCont_(x), invert_(get_(x, 0))))"""
1,-43.970012205903245,-9.416378455387454,-34.55363375051579,"""lambda x: else_(patternCont_(x), else_(conform_(x, 4), invert_(get_(x, 0))))"""
1,-41.197423483663464,-6.643789733147672,-34.55363375051579,"""lambda x: else_(conform_(x, 4), '1')"""
2,-59.64083026385946,-13.575261538747126,-46.065568725112335,"""lambda x: else_(balance_(x, 2), else_(patternCont_(x), else_(conform_(x, 3), get_(x, 7))))"""
2,-59.64083026385946,-13.575261538747126,-46.065568725112335,"""lambda x: else_(patternCont_(x), else_(balance_(x, 2), else_(conform_(x, 3), get_(x, 7))))"""
2,-58.254535902739576,-12.188967177627235,-46.06556872511234,"""lambda x: else_(patternCont_(x), else_(patternCont_(x), else_(balance_(x, 2), '1')))"""
2,-58.254535902739576,-12.188967177627235,-46.06556872511234,"""lambda x: else_(patternCont_(x), else_(balance_(x, 2), else_(patternCont_(x), '1')))"""
2,-58.254535902739576,-12.188967177627235,-46.06556872511234,"""lambda x: else_(balance_(x, 2), else_(patternCont_(x), else_(patternCont_(x), '1')))"""
2,-57.4278573295551,-11.362288604442766,-46.065568725112335,"""lambda x: else_(balance_(x, 2), else_(streak_(x, 4), get_(x, 0)))"""
2,-57.4278573295551,-11.362288604442766,-46.065568725112335,"""lambda x: else_(balance_(x, 2), else_(streak_(x, 5), get_(x, 0)))"""
2,-57.4278573295551,-11.362288604442766,-46.065568725112335,"""lambda x: else_(balance_(x, 2), else_(streak_(x, 3), get_(x, 0)))"""
2,-55.481947180499795,-9.416378455387454,-46.06556872511234,"""lambda x: else_(patternCont_(x), else_(balance_(x, 2), '1'))"""
2,-55.481947180499795,-9.416378455387454,-46.06556872511234,"""lambda x: else_(balance_(x, 2), else_(patternCont_(x), '1'))"""
3,-56.868241541619696,-10.802672816507345,-46.06556872511235,"""lambda x: else_(balance_(x, 1), else_(conform_(x, 3), invert_(get_(x, 7))))"""
3,-56.868241541619696,-10.802672816507345,-46.06556872511235,"""lambda x: else_(conform_(x, 3), else_(conform_(x, 2), invert_(get_(x, 7))))"""
3,-56.868241541619696,-10.802672816507345,-46.06556872511235,"""lambda x: else_(conform_(x, 3), else_(conform_(x, 3), invert_(get_(x, 7))))"""
3,-56.868241541619696,-10.802672816507345,-46.06556872511235,"""lambda x: else_(conform_(x, 1), else_(conform_(x, 3), invert_(get_(x, 7))))"""
3,-56.868241541619696,-10.802672816507345,-46.06556872511235,"""lambda x: else_(conform_(x, 3), else_(conform_(x, 1), invert_(get_(x, 7))))"""
3,-55.4819471804998,-9.416378455387454,-46.06556872511235,"""lambda x: else_(conform_(x, 3), else_(patternCont_(x), invert_(get_(x, 7))))"""
3,-55.4819471804998,-9.416378455387454,-46.06556872511235,"""lambda x: else_(patternCont_(x), else_(conform_(x, 3), invert_(get_(x, 7))))"""
3,-55.48194718049979,-9.416378455387454,-46.065568725112335,"""lambda x: else_(patternCont_(x), else_(conform_(x, 3), invert_(get_(x, 0))))"""
3,-55.48194718049979,-9.416378455387454,-46.065568725112335,"""lambda x: else_(conform_(x, 3), else_(patternCont_(x), invert_(get_(x, 0))))"""
3,-52.70935845826002,-6.643789733147672,-46.06556872511235,"""lambda x: else_(conform_(x, 3), invert_(get_(x, 7)))"""
4,-56.86824154161968,-10.802672816507345,-46.065568725112335,"""lambda x: else_(conform_(x, 2), else_(conform_(x, 3), invert_(get_(x, 7))))"""
4,-56.86824154161968,-10.802672816507345,-46.065568725112335,"""lambda x: else_(balance_(x, 1), else_(conform_(x, 3), invert_(get_(x, 7))))"""
4,-56.86824154161968,-10.802672816507345,-46.065568725112335,"""lambda x: else_(conform_(x, 3), else_(balance_(x, 2), invert_(get_(x, 7))))"""
4,-56.86824154161968,-10.802672816507345,-46.065568725112335,"""lambda x: else_(conform_(x, 3), else_(conform_(x, 3), invert_(get_(x, 7))))"""
4,-56.86824154161968,-10.802672816507345,-46.065568725112335,"""lambda x: else_(conform_(x, 3), else_(conform_(x, 2), invert_(get_(x, 7))))"""
4,-56.86824154161968,-10.802672816507345,-46.065568725112335,"""lambda x: else_(conform_(x, 3), else_(balance_(x, 3), invert_(get_(x, 7))))"""
4,-56.86824154161968,-10.802672816507345,-46.065568725112335,"""lambda x: else_(conform_(x, 1), else_(conform_(x, 3), invert_(get_(x, 7))))"""
4,-55.48194718049979,-9.416378455387454,-46.065568725112335,"""lambda x: else_(conform_(x, 3), else_(patternCont_(x), invert_(get_(x, 7))))"""
4,-55.48194718049979,-9.416378455387454,-46.065568725112335,"""lambda x: else_(patternCont_(x), else_(conform_(x, 3), invert_(get_(x, 7))))"""
4,-52.709358458260006,-6.643789733147672,-46.065568725112335,"""lambda x: else_(conform_(x, 3), invert_(get_(x, 7)))"""
5,-55.4819471804998,-9.416378455387454,-46.06556872511235,"""lambda x: else_(patternCont_(x), else_(balance_(x, 1), invert_(get_(x, 0))))"""
5,-55.481947180499795,-9.416378455387454,-46.06556872511234,"""lambda x: else_(patternCont_(x), else_(conform_(x, 4), '1'))"""
5,-55.481947180499795,-9.416378455387454,-46.06556872511234,"""lambda x: else_(conform_(x, 4), else_(patternCont_(x), '1'))"""
5,-55.481947180499795,-9.416378455387454,-46.06556872511234,"""lambda x: else_(conform_(x, 4), else_(patternCont_(x), invert_(get_(x, 7))))"""
5,-55.481947180499795,-9.416378455387454,-46.06556872511234,"""lambda x: else_(patternCont_(x), else_(conform_(x, 3), '1'))"""
5,-55.481947180499795,-9.416378455387454,-46.06556872511234,"""lambda x: else_(patternCont_(x), else_(conform_(x, 4), invert_(get_(x, 7))))"""
5,-55.481947180499795,-9.416378455387454,-46.06556872511234,"""lambda x: else_(conform_(x, 3), else_(patternCont_(x), '1'))"""
5,-54.095652819379914,-8.030084094267563,-46.06556872511235,"""lambda x: else_(patternCont_(x), else_(patternCont_(x), invert_(get_(x, 0))))"""
5,-52.70935845826001,-6.643789733147672,-46.06556872511234,"""lambda x: else_(conform_(x, 4), invert_(get_(x, 7)))"""
5,-51.32306409714013,-5.2574953720277815,-46.06556872511235,"""lambda x: else_(patternCont_(x), invert_(get_(x, 0)))"""
6,-33.84437159242658,-10.802672816507345,-23.041698775919237,"""lambda x: else_(conform_(x, 4), else_(conform_(x, 4), invert_(get_(x, 0))))"""
6,-33.84437159242658,-10.802672816507345,-23.041698775919237,"""lambda x: else_(conform_(x, 4), else_(conform_(x, 3), invert_(get_(x, 0))))"""
6,-32.45807723130669,-9.416378455387454,-23.041698775919237,"""lambda x: else_(conform_(x, 4), else_(patternCont_(x), invert_(get_(x, 7))))"""
6,-32.45807723130669,-9.416378455387454,-23.041698775919237,"""lambda x: else_(patternCont_(x), else_(conform_(x, 4), invert_(get_(x, 7))))"""
6,-32.45807723130669,-9.416378455387454,-23.041698775919237,"""lambda x: else_(conform_(x, 4), else_(patternCont_(x), '1'))"""
6,-32.45807723130669,-9.416378455387454,-23.041698775919237,"""lambda x: else_(conform_(x, 4), else_(patternCont_(x), invert_(get_(x, 0))))"""
6,-32.45807723130669,-9.416378455387454,-23.041698775919237,"""lambda x: else_(patternCont_(x), else_(conform_(x, 4), invert_(get_(x, 0))))"""
6,-32.45807723130669,-9.416378455387454,-23.041698775919237,"""lambda x: else_(patternCont_(x), else_(conform_(x, 4), '1'))"""
6,-29.685488509066907,-6.643789733147672,-23.041698775919237,"""lambda x: else_(conform_(x, 4), invert_(get_(x, 7)))"""
6,-29.685488509066907,-6.643789733147672,-23.041698775919237,"""lambda x: else_(conform_(x, 4), invert_(get_(x, 0)))"""
7,-34.403987380362004,-11.362288604442766,-23.041698775919237,"""lambda x: else_(streak_(x, 4), else_(conform_(x, 3), invert_(get_(x, 7))))"""
7,-34.403987380362004,-11.362288604442766,-23.041698775919237,"""lambda x: else_(conform_(x, 3), else_(streak_(x, 6), invert_(get_(x, 7))))"""
7,-34.403987380362004,-11.362288604442766,-23.041698775919237,"""lambda x: else_(conform_(x, 2), else_(streak_(x, 4), invert_(get_(x, 7))))"""
7,-34.403987380362004,-11.362288604442766,-23.041698775919237,"""lambda x: else_(streak_(x, 6), else_(conform_(x, 3), invert_(get_(x, 7))))"""
7,-34.403987380362004,-11.362288604442766,-23.041698775919237,"""lambda x: else_(conform_(x, 3), else_(streak_(x, 4), invert_(get_(x, 7))))"""
7,-34.403987380362004,-11.362288604442766,-23.041698775919237,"""lambda x: else_(conform_(x, 2), else_(streak_(x, 6), invert_(get_(x, 7))))"""
7,-34.403987380362004,-11.362288604442766,-23.041698775919237,"""lambda x: else_(streak_(x, 4), else_(conform_(x, 2), invert_(get_(x, 7))))"""
7,-34.403987380362004,-11.362288604442766,-23.041698775919237,"""lambda x: else_(streak_(x, 6), else_(conform_(x, 2), invert_(get_(x, 7))))"""
7,-34.403987380362,-11.362288604442766,-23.041698775919233,"""lambda x: else_(conform_(x, 4), else_(streak_(x, 6), invert_(get_(x, 7))))"""
7,-34.403987380362,-11.362288604442766,-23.041698775919233,"""lambda x: else_(streak_(x, 6), else_(conform_(x, 4), invert_(get_(x, 7))))"""
8,-64.35932913515455,-18.293760410042218,-46.06556872511234,"""lambda x: else_(streak_(x, 2), else_(balance_(x, 3), else_(conform_(x, 3), else_(patternCont_(x), '1'))))"""
8,-62.97303477403467,-16.907466048922327,-46.06556872511234,"""lambda x: else_(streak_(x, 2), else_(balance_(x, 3), else_(patternCont_(x), else_(patternCont_(x), '1'))))"""
8,-62.97303477403467,-16.907466048922327,-46.06556872511234,"""lambda x: else_(streak_(x, 2), else_(patternCont_(x), else_(patternCont_(x), else_(balance_(x, 3), '1'))))"""
8,-62.97303477403467,-16.907466048922327,-46.06556872511234,"""lambda x: else_(patternCont_(x), else_(streak_(x, 2), else_(patternCont_(x), else_(balance_(x, 3), '1'))))"""
8,-62.97303477403467,-16.907466048922327,-46.06556872511234,"""lambda x: else_(patternCont_(x), else_(patternCont_(x), else_(streak_(x, 2), else_(balance_(x, 3), '1'))))"""
8,-62.97303477403467,-16.907466048922327,-46.06556872511234,"""lambda x: else_(streak_(x, 2), else_(patternCont_(x), else_(balance_(x, 3), else_(patternCont_(x), '1'))))"""
