p_id,sequence,p_pred,generator,rule,posterior,m_pred,correct
1,01000101,0,bingo,"else_(conform_(x, 4), '1')",0.5172936674603237,0,True
1,10001010,0,bingo,"else_(conform_(x, 4), '1')",0.5172936674603237,0,True
1,01000001,0,bingo,"else_(conform_(x, 4), '1')",0.5172936674603237,0,True
1,01010010,1,bingo,"else_(conform_(x, 4), '1')",0.5172936674603237,0,False
1,01010101,1,bingo,"else_(conform_(x, 4), '1')",0.5172936674603237,1,True
1,10000000,0,bingo,"else_(conform_(x, 4), '1')",0.5172936674603237,0,True
1,10101010,1,bingo,"else_(conform_(x, 4), '1')",0.5172936674603237,1,True
1,10100110,0,bingo,"else_(conform_(x, 4), '1')",0.5172936674603237,1,False
1,11111101,0,bingo,"else_(conform_(x, 4), '1')",0.5172936674603237,1,False
1,10100000,0,bingo,"else_(conform_(x, 4), '1')",0.5172936674603237,0,True
1,01101010,1,bingo,"else_(conform_(x, 4), '1')",0.5172936674603237,1,True
1,11010010,1,bingo,"else_(conform_(x, 4), '1')",0.5172936674603237,1,True
1,11000000,0,bingo,"else_(conform_(x, 4), '1')",0.5172936674603237,0,True
1,11111010,1,bingo,"else_(conform_(x, 4), '1')",0.5172936674603237,1,True
1,11010000,0,bingo,"else_(conform_(x, 4), '1')",0.5172936674603237,0,True
1,01010111,1,bingo,"else_(conform_(x, 4), '1')",0.5172936674603237,1,True
1,11110010,1,bingo,"else_(conform_(x, 4), '1')",0.5172936674603237,1,True
1,01010100,0,bingo,"else_(conform_(x, 4), '1')",0.5172936674603237,0,True
2,01010101,0,stock,"else_(patternCont_(x), else_(balance_(x, 2), '1'))",0.3390978891534411,0,True
2,01001011,0,stock,"else_(patternCont_(x), else_(balance_(x, 2), '1'))",0.3390978891534411,0,True
2,01011000,0,stock,"else_(patternCont_(x), else_(balance_(x, 2), '1'))",0.3390978891534411,1,False
2,10000001,1,stock,"else_(patternCont_(x), else_(balance_(x, 2), '1'))",0.3390978891534411,1,True
