p_id,sequence,p_pred,generator,rule,posterior,m_pred,correct
3,01011111,1,stock,"else_(patternCont_(x), else_(conform_(x, 3), '1'))",0.24396715616417972,1,True
3,01010101,0,stock,"else_(patternCont_(x), else_(conform_(x, 3), '1'))",0.24396715616417972,0,True
4,10100110,1,stock,"else_(patternCont_(x), else_(streak_(x, 4), '0'))",0.5073166984328501,0,False
4,11010010,1,stock,"else_(patternCont_(x), else_(streak_(x, 4), '0'))",0.5073166984328501,1,True
4,10000001,0,stock,"else_(patternCont_(x), else_(streak_(x, 4), '0'))",0.5073166984328501,0,True
4,00101111,1,stock,"else_(patternCont_(x), else_(streak_(x, 4), '0'))",0.5073166984328501,1,True
4,01010111,0,stock,"else_(patternCont_(x), else_(streak_(x, 4), '0'))",0.5073166984328501,0,True
4,01000001,0,stock,"else_(patternCont_(x), else_(streak_(x, 4), '0'))",0.5073166984328501,0,True
4,11000110,0,stock,"else_(patternCont_(x), else_(streak_(x, 4), '0'))",0.5073166984328501,0,True
4,10101011,0,stock,"else_(patternCont_(x), else_(streak_(x, 4), '0'))",0.5073166984328501,0,True
4,11000000,0,stock,"else_(patternCont_(x), else_(streak_(x, 4), '0'))",0.5073166984328501,0,True
4,01101010,1,stock,"else_(patternCont_(x), else_(streak_(x, 4), '0'))",0.5073166984328501,0,False
4,01110010,0,stock,"else_(patternCont_(x), else_(streak_(x, 4), '0'))",0.5073166984328501,0,True
4,00001101,0,stock,"else_(patternCont_(x), else_(streak_(x, 4), '0'))",0.5073166984328501,0,True
4,11011111,1,stock,"else_(patternCont_(x), else_(streak_(x, 4), '0'))",0.5073166984328501,1,True
4,10000101,0,stock,"else_(patternCont_(x), else_(streak_(x, 4), '0'))",0.5073166984328501,0,True
4,10000000,0,stock,"else_(patternCont_(x), else_(streak_(x, 4), '0'))",0.5073166984328501,0,True
4,01011101,1,stock,"else_(patternCont_(x), else_(streak_(x, 4), '0'))",0.5073166984328501,0,False
4,01000101,0,stock,"else_(patternCont_(x), else_(streak_(x, 4), '0'))",0.5073166984328501,0,True
4,11011001,0,stock,"else_(patternCont_(x), else_(streak_(x, 4), '0'))",0.5073166984328501,0,True
5,11111010,0,bingo,"else_(patternCont_(x), else_(balance_(x, 4), get_(x, 7)))",0.7837870468089655,0,True
5,10100000,1,bingo,"else_(patternCont_(x), else_(balance_(x, 4), get_(x, 7)))",0.7837870468089655,1,True
5,01010010,1,bingo,"else_(patternCont_(x), else_(balance_(x, 4), get_(x, 7)))",0.7837870468089655,1,True
5,01001011,0,bingo,"else_(patternCont_(x), else_(balance_(x, 4), get_(x, 7)))",0.7837870468089655,0,True
5,01111111,0,bingo,"else_(patternCont_(x), else_(balance_(x, 4), get_(x, 7)))",0.7837870468089655,0,True
5,01010101,1,bingo,"else_(patternCont_(x), else_(balance_(x, 4), get_(x, 7)))",0.7837870468089655,0,False
5,01000000,1,bingo,"else_(patternCont_(x), else_(balance_(x, 4), get_(x, 7)))",0.7837870468089655,1,True
5,11001101,0,bingo,"else_(patternCont_(x), else_(balance_(x, 4), get_(x, 7)))",0.7837870468089655,0,True
