p_id,posterior,prior,likelihood,rule
5,-23.718730978949914,-12.188967177627235,-11.52976380132268,"""lambda x: else_(patternCont_(x), else_(patternCont_(x), else_(balance_(x, 4), get_(x, 7))))"""
5,-23.718730978949914,-12.188967177627235,-11.52976380132268,"""lambda x: else_(patternCont_(x), else_(patternCont_(x), else_(balance_(x, 4), invert_(get_(x, 0)))))"""
5,-20.946142256710132,-9.416378455387454,-11.52976380132268,"""lambda x: else_(patternCont_(x), else_(balance_(x, 4), get_(x, 7)))"""
5,-20.946142256710132,-9.416378455387454,-11.52976380132268,"""lambda x: else_(patternCont_(x), else_(balance_(x, 4), invert_(get_(x, 0))))"""
5,-20.946142256710132,-9.416378455387454,-11.52976380132268,"""lambda x: else_(balance_(x, 4), else_(patternCont_(x), '0'))"""
5,-20.946142256710132,-9.416378455387454,-11.52976380132268,"""lambda x: else_(balance_(x, 4), else_(patternCont_(x), get_(x, 7)))"""
5,-20.946142256710132,-9.416378455387454,-11.52976380132268,"""lambda x: else_(balance_(x, 4), else_(patternCont_(x), invert_(get_(x, 0))))"""
5,-20.946142256710132,-9.416378455387454,-11.52976380132268,"""lambda x: else_(patternCont_(x), else_(balance_(x, 4), '0'))"""
6,-22.33243661783002,-10.802672816507345,-11.529763801322677,"""lambda x: else_(balance_(x, 4), else_(conform_(x, 4), '0'))"""
6,-22.33243661783002,-10.802672816507345,-11.529763801322677,"""lambda x: else_(balance_(x, 4), else_(balance_(x, 2), '0'))"""
6,-22.33243661783002,-10.802672816507345,-11.529763801322677,"""lambda x: else_(balance_(x, 4), else_(balance_(x, 1), '0'))"""
6,-22.33243661783002,-10.802672816507345,-11.529763801322677,"""lambda x: else_(balance_(x, 4), else_(conform_(x, 2), '0'))"""
6,-22.33243661783002,-10.802672816507345,-11.529763801322677,"""lambda x: else_(balance_(x, 4), else_(balance_(x, 3), '0'))"""
6,-22.33243661783002,-10.802672816507345,-11.529763801322677,"""lambda x: else_(balance_(x, 4), else_(conform_(x, 1), '0'))"""
6,-22.33243661783002,-10.802672816507345,-11.529763801322677,"""lambda x: else_(balance_(x, 4), else_(conform_(x, 3), '0'))"""
6,-18.17355353447035,-6.643789733147672,-11.529763801322677,"""lambda x: else_(balance_(x, 4), get_(x, 7))"""
6,-18.17355353447035,-6.643789733147672,-11.52976380132268,"""lambda x: else_(balance_(x, 4), invert_(get_(x, 0)))"""
6,-18.17355353447035,-6.643789733147672,-11.529763801322677,"""lambda x: else_(balance_(x, 4), '0')"""
7,-33.844371592426576,-10.802672816507345,-23.04169877591923,"""lambda x: else_(balance_(x, 3), else_(balance_(x, 4), invert_(get_(x, 7))))"""
7,-33.844371592426576,-10.802672816507345,-23.04169877591923,"""lambda x: else_(balance_(x, 4), else_(balance_(x, 4), invert_(get_(x, 7))))"""
7,-33.844371592426576,-10.802672816507345,-23.04169877591923,"""lambda x: else_(balance_(x, 4), else_(balance_(x, 2), invert_(get_(x, 7))))"""
7,-33.844371592426576,-10.802672816507345,-23.04169877591923,"""lambda x: else_(balance_(x, 4), else_(balance_(x, 1), invert_(get_(x, 7))))"""
7,-32.45807723130669,-9.416378455387454,-23.041698775919237,"""lambda x: else_(patternCont_(x), else_(balance_(x, 3), invert_(get_(x, 7))))"""
